date,resort,points,price_per_point,total_price
2026-01-10,AnimalKingdom,160,$112,
2026-01-10,AnimalKingdom,250,$104,
2026-01-10,AnimalKingdom,200,$111,
2026-01-10,AnimalKingdom,200,$111,
2026-01-10,AnimalKingdom,180,$107,
2026-01-10,AnimalKingdom,120,$135,
2026-01-10,AnimalKingdom,250,$109,
2026-01-10,AnimalKingdom,240,$114,
2026-01-10,AnimalKingdom,220,$103,
2026-01-10,AnimalKingdom,160,$116,
2026-01-10,AnimalKingdom,150,$106,
2026-01-10,AnimalKingdom,120,$112,
2026-01-10,AnimalKingdom,100,$114,
2026-01-10,AnimalKingdom,360,$99,
2026-01-10,AnimalKingdom,240,$105,
2026-01-10,AnimalKingdom,300,$125,
2026-01-10,AnimalKingdom,100,$114,
2026-01-10,AnimalKingdom,100,$119,
2026-01-10,AnimalKingdom,250,$115,
2026-01-10,AnimalKingdom,270,$123,
2026-01-10,AnimalKingdom,160,$106,
2026-01-10,AnimalKingdom,120,$108,
2026-01-10,AnimalKingdom,160,$108,
2026-01-10,AnimalKingdom,100,$110,
2026-01-10,AnimalKingdom,100,$110,
2026-01-10,AnimalKingdom,200,$97,
2026-01-10,AnimalKingdom,150,$102,
2026-01-10,AnimalKingdom,100,$108,
2026-01-10,AnimalKingdom,160,$106,
2026-01-10,AnimalKingdom,75,$130,
2026-01-10,AnimalKingdom,200,$115,
2026-01-10,AnimalKingdom,55,$110,
2026-01-10,AnimalKingdom,160,$118,
2026-01-10,AnimalKingdom,120,$120,
2026-01-10,AnimalKingdom,160,$108,
2026-01-10,AnimalKingdom,160,$115,
2026-01-10,AnimalKingdom,165,$110,
2026-01-10,AnimalKingdom,130,$103,
2026-01-10,Aulani,270,$88,
2026-01-10,Aulani,100,$127,
2026-01-10,Aulani,150,$108,
2026-01-10,Aulani,250,$108,
2026-01-10,Aulani,160,$102,
2026-01-10,Aulani,110,$100,
2026-01-10,Aulani,200,$110,
2026-01-10,Aulani,200,$95,
2026-01-10,Aulani,220,$102,
2026-01-10,Aulani,110,$110,
2026-01-10,Aulani,135,$96,
2026-01-10,Aulani,200,$102,
2026-01-10,Aulani,150,$106,
2026-01-10,Aulani,300,$91,
2026-01-10,Aulani,175,$92,
2026-01-10,Aulani,100,$111,
2026-01-10,Aulani,200,$95,
2026-01-10,Aulani,175,$99,
2026-01-10,Aulani,100,$106,
2026-01-10,Aulani,50,$113,
